jobname,filename
ハイランダー,job_Highlander.txt
ペルタスト,job_Peltasta.txt
ホプライト,job_Hoplite.txt
バーバリアン,job_Barbarian.txt
カタフラクト,job_Cataphract.txt
ドッペルゾルドナー,job_Doppelsoeldner.txt
ロデレロ,job_Rodelero.txt
ムルミロ,job_Murmillo.txt
フェンサー,job_Fencer.txt
ドラグーン,job_Dragoon.txt
テンプラー,job_Templar.txt
ランサー,job_Lancer.txt
マタドール,job_Matador.txt
ムエタイ,job_NakMuay.txt
レティアリイ,job_Retiarii.txt
ハッカペル,job_Hackapell.txt
パイロマンサー,job_FireMage.txt
クリオマンサー,job_FrostMage.txt
サイコキノ,job_Psychokino.txt
アルケミスト,job_Alchemist.txt
ソーサラー,job_Sorcerer.txt
クロノマンサー,job_Chronomancer.txt
ネクロマンサー,job_Necromancer.txt
エレメンタリスト,job_Elementalist.txt
セージ,job_Sage.txt
ウォーロック,job_Warlock.txt
フェザーフット,job_Featherfoot.txt
ルーンキャスター,job_RuneCaster.txt
シャドウマンサー,job_Shadowmancer.txt
陰陽師,job_Onmyoji.txt
タオイスト,job_Daoshi.txt
ボコル,job_Bokor.txt
ハンター,job_Hunter.txt
クォレルシューター,job_QuarrelShooter.txt
レンジャー,job_Ranger.txt
サッパー,job_Sapper.txt
ポイズンシューター,job_Wugushi.txt
フレッチャー,job_Fletcher.txt
パイドパイパー,job_PiedPiper.txt
アプレイサー,job_Appraiser.txt
ファルコナー,job_Falconer.txt
キャノニア,job_Cannoneer.txt
マスケティア,job_Musketeer.txt
メルゲン,job_Mergen.txt
マトロス,job_Matross.txt
タイガーハンター,job_TigerHunter.txt
プリースト,job_Priest.txt
クリヴィス,job_Kriwi.txt
ドルイド,job_Druid.txt
サドゥー,job_Sadhu.txt
ティルトルビー,job_Dievdirbys.txt
オラクル,job_Oracle.txt
モンク,job_Monk.txt
パードナー,job_Pardoner.txt
パラディン,job_Paladin.txt
チャプレン,job_Chaplain.txt
プレイグドクター,job_PlagueDoctor.txt
カバリスト,job_Kabbalist.txt
インクイジター,job_Inquisitor.txt
巫女,job_Miko.txt
ジーロット,job_Zealot.txt
エクソシスト,job_Exorcist.txt
アサシン,job_Assassin.txt
アウトロー,job_Outlaw.txt
スクワイア,job_Squire.txt
コルセア,job_Corsair.txt
シノビ,job_Shinobi.txt
ソーマタージュ,job_Thaumaturge.txt
エンチャンター,job_Enchanter.txt
リンカー,job_Linker.txt
ローグ,job_Rogue.txt
シュヴァルツライター,job_Schwarzereiter.txt
バレットマーカー,job_Bulletmarker.txt
アルディーティ,job_Arditi.txt
シェリフ,job_Sheriff.txt
